id,mmsi,status,station,speed,lon,lat,course,heading,rot,timestamp,created_at,updated_at
952,247039300,1175,161,16.34657,41.86563,150,150,,0,1372700340,,
953,311040700,1176,148,34.93876,34.00265,286,283,,0,1372700520,,
954,247039300,1177,160,16.3499,41.8613,150,150,,0,1372700040,,
955,311040700,1178,150,34.93013,34.00463,285,283,,0,1372699860,,
956,311040700,1180,151,34.92382,34.00605,285,283,,0,1372700280,,
957,311040700,1181,151,34.91795,34.00735,284,283,,0,1372700400,,
958,247039300,1184,162,16.35988,41.84815,150,150,,0,1372699980,,
961,311040700,1187,152,34.89833,34.01167,284,283,,0,1372700100,,
962,247039300,1189,162,16.37322,41.83052,150,150,,0,1372700160,,
963,311040700,1190,152,34.8929,34.01285,284,283,,0,1372700280,,
964,311040700,1191,152,34.88559,34.01443,284,283,,0,1372700460,,
965,247039300,1192,161,16.38575,41.81353,151,150,,0,1372700160,,
966,311040700,1193,152,34.86971,34.01783,284,283,,0,1372700100,,
967,311040700,1194,153,34.84253,34.02354,283,283,,0,1372699980,,
968,247039300,1195,161,16.40663,41.78532,151,150,,0,1372700220,,
969,311040700,1196,153,34.8355,34.02496,283,283,,0,1372700640,,
970,247039300,1197,159,16.40985,41.78093,150,150,,0,1372700160,,
971,311040700,1198,154,34.80755,34.03054,283,283,,0,1372700460,,
973,247039300,1200,159,16.42915,41.75497,151,150,,0,1372700160,,
974,311040700,1201,155,34.79249,34.03365,283,283,,0,1372700520,,
975,311040700,1202,155,34.78745,34.03466,283,283,,0,1372700280,,
976,247039300,1203,159,16.43602,41.74558,150,150,,0,1372700520,,
977,311040700,1204,156,34.78088,34.03599,283,283,,0,1372700520,,
978,247039300,1205,157,16.4457,41.73298,149,150,,0,1372700580,,
979,311040700,1206,157,34.76526,34.03924,284,283,,0,1372700220,,
980,247039300,1207,157,16.44893,41.72882,149,150,,0,1372700160,,
981,247039300,1208,157,16.45212,41.72465,149,150,,0,1372699980,,
982,311040700,1209,157,34.75755,34.04082,283,282,,0,1372700460,,
983,247039300,1210,157,16.45568,41.72013,149,150,,0,1372700340,,
984,311040700,1212,157,34.75092,34.04218,283,283,,0,1372700160,,
985,311040700,1213,156,34.73518,34.04533,283,283,,0,1372700040,,
986,311040700,1214,156,34.7291,34.04654,283,282,,0,1372700220,,
987,247039300,1215,158,16.4721,41.6989,150,150,,0,1372700160,,
988,311040700,1217,156,34.7215,34.04808,283,283,,0,1372700280,,
989,247039300,1218,158,16.47535,41.69463,150,150,,0,1372700400,,
990,311040700,1219,156,34.71551,34.0493,284,283,,0,1372700280,,
991,311040700,1221,155,34.70335,34.05185,283,282,,0,1372700220,,
992,311040700,1222,155,34.69781,34.05295,283,283,,0,1372700400,,
993,311040700,1223,154,34.69136,34.05427,284,283,,0,1372700460,,
994,247039300,1226,158,16.49162,41.67322,150,150,,0,1372700100,,
995,311040700,1228,154,34.68525,34.05553,284,283,,0,1372700040,,
997,311040700,1230,154,34.67981,34.05669,284,283,,0,1372700160,,
998,311040700,1231,156,34.66825,34.05945,286,285,,0,1372700640,,
999,311040700,1232,156,34.66225,34.06093,286,284,,0,1372700100,,
1000,247039300,1233,157,16.50772,41.65178,150,150,,0,1372700580,,
1001,311040700,1234,156,34.65323,34.06311,286,285,,0,1372700220,,
1002,247039300,1235,156,16.51467,41.6426,150,150,,0,1372700580,,
1003,311040700,1236,155,34.64774,34.06445,286,285,,0,1372700520,,
1004,247039300,1238,155,16.51793,41.63843,149,150,,0,1372700280,,
1005,311040700,1239,155,34.64127,34.06605,286,284,,0,1372700580,,
1006,311040700,1240,155,34.63539,34.06747,285,283,,0,1372700520,,
1007,247039300,1241,155,16.52462,41.62982,149,150,,0,1372700220,,
1008,311040700,1242,156,34.6273,34.06931,285,284,,0,1372700220,,
1009,311040700,1243,156,34.61574,34.07189,284,284,,0,1372700100,,
1010,247039300,1244,155,16.53498,41.61643,149,150,,0,1372700520,,
1011,247039300,1245,155,16.53812,41.61235,150,150,,0,1372699920,,
1012,311040700,1248,156,34.60969,34.0732,284,284,,0,1372699860,,
1013,247039300,1249,154,16.54163,41.60787,149,150,,0,1372700400,,
1014,311040700,1250,156,34.60321,34.07455,283,283,,0,1372700160,,
1015,247039300,1251,154,16.54475,41.60382,149,150,,0,1372700460,,
1016,311040700,1253,156,34.59762,34.07561,283,284,,0,1372700160,,
1017,311040700,1255,155,34.59258,34.07661,282,284,,0,1372700520,,
1018,247039300,1256,153,16.55113,41.59558,149,150,,0,1372700460,,
1019,311040700,1257,154,34.58494,34.0781,283,284,,0,1372700520,,
1020,247039300,1258,154,16.55457,41.59115,150,150,,0,1372700040,,
1021,311040700,1259,155,34.57936,34.07917,282,284,,0,1372700220,,
1023,311040700,1261,156,34.57429,34.08015,282,284,,0,1372700220,,
1024,311040700,1262,156,34.56678,34.08161,283,284,,0,1372700580,,
1026,311040700,1264,156,34.55349,34.08422,283,284,,0,1372700040,,
1027,247039300,1265,155,16.5735,41.56608,150,150,,0,1372700040,,
1029,247039300,1267,155,16.57997,41.55733,150,150,,0,1372700580,,
1030,311040700,1268,156,34.52013,34.0909,283,284,,0,1372700520,,
1031,247039300,1269,154,16.59273,41.54023,150,150,,0,1372700460,,
1033,311040700,1271,156,34.5043,34.09408,283,283,,0,1372700220,,
1034,311040700,1273,156,34.49872,34.09521,283,284,,0,1372700040,,
1035,247039300,1274,154,16.60272,41.52675,150,150,,0,1372700220,,
1036,311040700,1275,156,34.49111,34.09678,283,283,,0,1372700520,,
1037,311040700,1276,157,34.48347,34.09833,283,284,,0,1372700460,,
1038,247039300,1277,153,16.60912,41.51818,150,150,,0,1372700460,,
1039,311040700,1281,157,34.47788,34.09946,283,284,,0,1372700640,,
1040,247039300,1282,154,16.61223,41.51395,150,150,,0,1372700220,,
1041,311040700,1283,157,34.47125,34.10081,283,283,,0,1372700100,,
1042,247039300,1284,154,16.6181,41.50613,150,150,,0,1372700100,,
1043,311040700,1285,157,34.46515,34.10207,283,283,,0,1372700340,,
1044,311040700,1286,157,34.45853,34.10344,283,284,,0,1372700220,,
1045,311040700,1287,157,34.4519,34.1048,283,284,,0,1372699980,,
1046,247039300,1289,154,16.62753,41.49342,151,150,,0,1372700520,,
1047,311040700,1290,157,34.44678,34.10582,283,284,,0,1372700160,,
1048,311040700,1291,157,34.43915,34.10741,283,283,,0,1372700220,,
1049,311040700,1292,157,34.43356,34.10857,284,283,,0,1372700580,,
1050,247039300,1293,154,16.63712,41.48045,150,150,,0,1372700520,,
1051,311040700,1294,157,34.42181,34.11101,284,283,,0,1372700460,,
1052,247039300,1295,154,16.64588,41.46875,151,150,,0,1372700340,,
1054,311040700,1297,158,34.40349,34.11484,284,284,,0,1372700520,,
1055,247039300,1298,155,16.65222,41.46018,150,150,,0,1372699800,,
1056,311040700,1299,158,34.39733,34.11614,284,284,,0,1372700160,,
1057,311040700,1300,158,34.39065,34.11758,284,284,,0,1372700520,,
1058,247039300,1301,155,16.66153,41.4477,150,150,,0,1372700520,,
1059,311040700,1302,159,34.38397,34.11905,284,284,,0,1372700520,,
1060,311040700,1303,159,34.3772,34.12054,284,283,,0,1372699800,,
1062,247039300,1305,155,16.67142,41.43453,150,150,,0,1372700520,,
1063,311040700,1306,159,34.34426,34.12757,284,283,,0,1372700280,,
1065,311040700,1311,159,34.33397,34.12978,284,283,,0,1372700160,,
1066,247039300,1312,154,16.69147,41.40932,140,140,,0,1372700340,,
1067,311040700,1313,159,34.32736,34.13119,284,284,,0,1372700400,,
